location,date,vaccine,total_vaccinations,people_vaccinated,source_url,people_fully_vaccinated
Montenegro,2021-02-20,Sputnik V,0,0,https://tass.com/society/1259199,
Montenegro,2021-02-25,Sputnik V,1113,1113,https://www.covidodgovor.me/,
Montenegro,2021-02-26,Sputnik V,1288,1288,https://www.covidodgovor.me/,
Montenegro,2021-03-01,Sputnik V,1531,1531,https://www.covidodgovor.me/,
Montenegro,2021-03-03,Sputnik V,1927,1927,https://www.covidodgovor.me/,
Montenegro,2021-03-05,Sputnik V,2250,2250,https://www.covidodgovor.me/,
Montenegro,2021-03-06,"Sinopharm/Beijing, Sputnik V",2406,2406,https://www.covidodgovor.me/,
Montenegro,2021-03-08,"Sinopharm/Beijing, Sputnik V",3062,3062,https://www.covidodgovor.me/,
Montenegro,2021-03-12,"Sinopharm/Beijing, Sputnik V",3374,3374,https://www.covidodgovor.me/,0.0
Montenegro,2021-03-14,"Sinopharm/Beijing, Sputnik V",3793,3793,https://www.covidodgovor.me/,0.0
Montenegro,2021-03-16,"Sinopharm/Beijing, Sputnik V",5021,5021,https://www.covidodgovor.me/,0.0
Montenegro,2021-03-17,"Sinopharm/Beijing, Sputnik V",5730,5730,https://www.covidodgovor.me/,0.0
Montenegro,2021-03-18,"Sinopharm/Beijing, Sputnik V",6085,6085,https://www.covidodgovor.me/,0.0
Montenegro,2021-03-19,"Sinopharm/Beijing, Sputnik V",6849,6517,https://www.covidodgovor.me/,332.0
Montenegro,2021-03-20,"Sinopharm/Beijing, Sputnik V",7298,6837,https://www.covidodgovor.me/,461.0
Montenegro,2021-03-23,"Sinopharm/Beijing, Sputnik V",8669,8074,https://www.covidodgovor.me/,595.0
Montenegro,2021-03-24,"Sinopharm/Beijing, Sputnik V",10809,9961,https://www.covidodgovor.me/,848.0
Montenegro,2021-03-25,"Sinopharm/Beijing, Sputnik V",12929,11857,https://www.covidodgovor.me/,1072.0
Montenegro,2021-03-26,"Sinopharm/Beijing, Sputnik V",14739,13410,https://www.covidodgovor.me/,1329.0
Montenegro,2021-03-27,"Sinopharm/Beijing, Sputnik V",16451,14850,https://www.covidodgovor.me/,1601.0
Montenegro,2021-03-28,"Sinopharm/Beijing, Sputnik V",18661,16570,https://www.covidodgovor.me/,2091.0
Montenegro,2021-03-29,"Sinopharm/Beijing, Sputnik V",20140,17746,https://www.covidodgovor.me/,2394.0
Montenegro,2021-03-30,"Sinopharm/Beijing, Sputnik V",20373,17906,https://www.covidodgovor.me/,2467.0
Montenegro,2021-03-31,"Sinopharm/Beijing, Sputnik V",22391,19118,https://www.covidodgovor.me/,3273.0
Montenegro,2021-04-01,"Sinopharm/Beijing, Sputnik V",23046,19636,https://www.covidodgovor.me/,3410.0
Montenegro,2021-04-02,"Sinopharm/Beijing, Sputnik V",25003,21195,https://www.covidodgovor.me/,3808.0
Montenegro,2021-04-03,"Sinopharm/Beijing, Sputnik V",26972,22947,https://www.covidodgovor.me/,4025.0
Montenegro,2021-04-04,"Sinopharm/Beijing, Sputnik V",29710,25516,https://www.covidodgovor.me/,4194.0
Montenegro,2021-04-05,"Sinopharm/Beijing, Sputnik V",31631,27149,https://www.covidodgovor.me/,4482.0
Montenegro,2021-04-06,"Sinopharm/Beijing, Sputnik V",34335,29601,https://www.covidodgovor.me/,4734.0
Montenegro,2021-04-07,"Sinopharm/Beijing, Sputnik V",36857,31710,https://www.covidodgovor.me/,5147.0
Montenegro,2021-04-08,"Sinopharm/Beijing, Sputnik V",38541,33163,https://www.covidodgovor.me/,5378.0
Montenegro,2021-04-09,"Sinopharm/Beijing, Sputnik V",39812,34172,https://www.covidodgovor.me/,5640.0
Montenegro,2021-04-10,"Sinopharm/Beijing, Sputnik V",41372,35290,https://www.covidodgovor.me/,6082.0
Montenegro,2021-04-11,"Sinopharm/Beijing, Sputnik V",42450,35697,https://www.covidodgovor.me/,6753.0
Montenegro,2021-04-12,"Sinopharm/Beijing, Sputnik V",42866,36113,https://www.covidodgovor.me/,6753.0
Montenegro,2021-04-13,"Sinopharm/Beijing, Sputnik V",44979,36432,https://www.covidodgovor.me/,8547.0
Montenegro,2021-04-14,"Sinopharm/Beijing, Sputnik V",46917,36690,https://www.covidodgovor.me/,10227.0
